id,lang,style,mood,pop,year,generation,author,song,date,website,url,version,processed,_author,_song,_retired,tested,proposed_tona,transposed_tona,listened_tona,chords_simplified,score,notes
336,,,,,,,maxime le forestier,San Francisco,,,https://www.boiteachansons.net/partitions/maxime-le-forestier/san-francisco,,0,maxime le forestier,san francisco,,,,,,,,
337,,,,,,,marc lavoine,Elle a mes yeux revolver,,,https://www.boiteachansons.net/partitions/marc-lavoine/elle-a-les-yeux-revolver,,0,marc lavoine,elle a les yeux revolver,,,,,,,,
338,,,,,,,aznavour,Mes emmerdes,,,https://www.boiteachansons.net/partitions/charles-aznavour/mes-emmerdes,,0,charles aznavour,mes emmerdes,,,,,,,,
339,,,,,,,clerc,Ma préférence ,,,https://www.boiteachansons.net/partitions/julien-clerc/ma-preference,,0,julien clerc,ma preference,,,,,,,,
340,,,,,,,sanson,Chanson pour ma drôle de vie,,,https://www.boiteachansons.net/partitions/veronique-sanson/chanson-sur-ma-drole-de-vie,,0,veronique sanson,chanson sur ma drole de vie,,,,,,,,
341,,,,,,,brel,Valse à mille temps,,,https://www.boiteachansons.net/partitions/jacques-brel/la-valse-a-mille-temps,,0,jacques brel,la valse a mille temps,,,,,,,,
342,,,,,,,richard cocciente,Le coup de soleil,,,https://www.boiteachansons.net/partitions/richard-cocciante/le-coup-de-soleil,,0,richard cocciante,le coup de soleil,,,,,,,,
343,,,,,,,brel,Ne me quitte pas,,,https://www.boiteachansons.net/partitions/jacques-brel/ne-me-quitte-pas,,0,jacques brel,ne me quitte pas,,,,,,,,
344,,,,,,,,Une femme avec toi,,,https://www.boiteachansons.net/partitions/nicole-croisille/une-femme-avec-toi,,0,nicole croisille,une femme avec toi,,,,,,,,
345,,,,,,,claude francois,Comme d'habitude,,,https://www.boiteachansons.net/partitions/claude-francois/comme-d-habitude,,0,claude francois,comme d habitude,,,,,,,,
346,,,,,,,u2,Sunday bloody,,,https://www.boiteachansons.net/partitions/u2/sunday-bloody-sunday,,0,u2,sunday bloody sunday,,,,,,,,
347,,,,,,,nina simone,sinnerman,,,,,0,nina simone,sinnerman,,,,,,,,
348,,,,,,,piag,Padam padam,,,https://www.boiteachansons.net/partitions/edith-piaf/padampadam,,0,edith piaf,padampadam,,,,,,,,
349,,,,,,,dalida,Salma y'a Salma,,,https://www.boiteachansons.net/partitions/dalida/salma-ya-salama,,0,dalida,salma ya salama,,,,,,,,
350,,,,,,,dave,Vanina ,,,https://www.boiteachansons.net/partitions/dave/vanina,,0,dave,vanina,,,,,,,,
351,,,,,,,manau,La trubu de dana,,,https://www.boiteachansons.net/partitions/manau/la-tribu-de-dana,,0,manau,la tribu de dana,,,,,,,,
352,,,,,,,,Un général à vendre,,,https://www.boiteachansons.net/en/partitions/les-freres-jacques/general-a-vendre,,0,les freres jacques,general a vendre,,,,,,,,
353,,,,,,,renaud,It i's not because you are,,,https://www.boiteachansons.net/partitions/renaud/it-is-not-because-you-are,,0,renaud,it is not because you are,,,,,,,,
354,,,,,,,renaud,Marche à l'ombre,,,https://www.boiteachansons.net/partitions/renaud/marche-a-l-ombre,,0,renaud,marche a l ombre,,,,,,,,
355,,,,,,,,Tous les Cris des sos,,,https://www.boiteachansons.net/partitions/daniel-balavoine/tous-les-cris-les-sos,,0,daniel balavoine,tous les cris les sos,,,,,,,,
356,,,,,,,,La maladie d'amour,,,https://www.boiteachansons.net/partitions/michel-sardou/la-maladie-d-amour,,0,michel sardou,la maladie d amour,,,,,,,,
357,,,,,,,,J'aime les filles,,,https://www.boiteachansons.net/partitions/jacques-dutronc/j-aime-les-filles,,0,jacques dutronc,j aime les filles,,,,,,,,
358,,,,,,,jacques dutronc,Il est 5 heure,,,https://www.boiteachansons.net/partitions/jacques-dutronc/il-est-cinq-heures-paris-s-eveille,,0,jacques dutronc,il est cinq heures paris s eveille,,,,,,,,
359,,,,,,,Goldman,Comme toi,,,https://www.boiteachansons.net/partitions/jean-jacques-goldman/comme-toi,,0,jean jacques goldman,comme toi,,,,,,,,
360,,,,,,,Goldman,Pas toi ,,,https://www.boiteachansons.net/partitions/jean-jacques-goldman/pas-toi,,0,jean jacques goldman,pas toi,,,,,,,,
361,,,,,,,coluche,Misère ,,,,,0,,,,,,,,,,
362,,,,,,,la rue ketanou,Tu parles trop ,,,https://www.boiteachansons.net/partitions/la-rue-ketanou/tu-parles-trop,,0,la rue ketanou,tu parles trop,,,,,,,,
363,,,,,,,brel,Vesoul ,,,https://www.boiteachansons.net/partitions/jacques-brel/vesoul,,0,jacques brel,vesoul,,,,,,,,
364,,,,,,,brassens,Le gorille ,,,https://www.boiteachansons.net/partitions/georges-brassens/le-gorille,,0,georges brassens,le gorille,,,,,,,,
365,,,,,,,renaud,500 connards sur la ligne de depart,,,https://www.boiteachansons.net/partitions/renaud/500-connards-sur-la-ligne-de-depart,,0,renaud,500 connards sur la ligne de depart,,,,,,,,
366,,,,,,,Mike brant,Qui saura,,,https://www.boiteachansons.net/partitions/mike-brant/qui-saura,,0,mike brant,qui saura,,,,,,,,
367,,,,,,,Claude barzotti,Le rital ,,,https://www.boiteachansons.net/partitions/claude-barzotti/le-rital,,0,claude barzotti,le rital,,,,,,,,
368,,,,,,,claude ,Si j'avais un marteau,,,https://www.boiteachansons.net/partitions/claude-francois/si-j-avais-un-marteau,,0,claude francois,si j avais un marteau,,,,,,,,
369,,,,,,,la tordue,Les mots ,,,https://www.boiteachansons.net/partitions/la-tordue/contre-vous,,0,la tordue,contre vous,,,,,,,,
370,,,,,,,la tordue,Inri ,,,https://www.boiteachansons.net/en/partitions/la-tordue/inri,,0,la tordue,inri,,,,,,,,
371,,,,,,,michel delpech,Pour un flirt,,,https://www.boiteachansons.net/partitions/michel-delpech/pour-un-flirt,,0,michel delpech,pour un flirt,,,,,,,,
372,,,,,,,joe dassin,Ça va pas changer le monde,,,https://www.boiteachansons.net/partitions/joe-dassin/ca-va-pas-changer-le-monde,,0,joe dassin,ca va pas changer le monde,,,,,,,,
373,,,,,,,claude francois,Chanson populaire ,,,https://www.boiteachansons.net/partitions/claude-francois/chanson-populaire,,0,claude francois,chanson populaire,,,,,,,,
374,,,,,,,brassens,Margot ,,,https://www.boiteachansons.net/partitions/georges-brassens/brave-margot,,0,georges brassens,brave margot,,,,,,,,
375,,,,,,,la tordue,Marguerite ,,,,,,,,,,,,,,,
376,,,,,,,barbara,Quand reviendra tu ,,,https://www.boiteachansons.net/partitions/barbara/dis-quand-reviendras-tu,,0,barbara,dis quand reviendras tu,,,,,,,,
377,,,,,,,daft punk,Garder better faster ,,,,,0,,,,,,,,,,
378,,,,,,,daft punk,Get luck ,,,https://www.boiteachansons.net/partitions/daft-punk/get-lucky,,0,daft punk,get lucky,,,,,,,,
379,,,,,,,raphael,Caravane ,,,https://www.boiteachansons.net/partitions/raphael/caravane,,0,raphael,caravane,,,,,,,,
380,,,,,,,neg Maron,Le bilan ,,,,,0,,,,,,,,,,
381,,,,,,,Tina aréna,Allez plus haut ,,,https://www.boiteachansons.net/partitions/tina-arena/aller-plus-haut,,0,tina arena,aller plus haut,,,,,,,,
382,,,,,,,bratisla,Stach stach,,,,,0,,,,,,,,,,
383,,,,,,,christophe mae,On s'attache ,,,https://www.boiteachansons.net/partitions/christophe-mae/on-s-attache,,0,christophe mae,on s attache,,,,,,,,
384,,,,,,,fatal bazooka,Fous ta cagoule ,,,,,0,,,,,,,,,,
385,,,,,,,trenet,Nationale 7,,,https://www.boiteachansons.net/partitions/charles-trenet/route-nationale-7,,0,charles trenet,route nationale 7,,,,,,,,
386,,,,,,,Mylène farmer,Cest une belle journée ,,,https://www.boiteachansons.net/partitions/mylene-farmer/c-est-une-belle-journee,,0,mylene farmer,c est une belle journee,,,,,,,,
387,,,,,,,Axel red,sensualité,,,https://www.boiteachansons.net/partitions/axelle-red/sensualite,,0,axelle red,sensualite,,,,,,,,
388,,,,,,,fatal bazooka,Parle à ma main ,,,,,0,,,,,,,,,,
389,,,,,,,kamini,Marly Gaumont ,,,,,0,,,,,,,,,,
390,,,,,,,magic system,feel the magic in the air,,,https://www.boiteachansons.net/partitions/magic-system/magic-in-the-air,,0,magic system,magic in the air,,,,,,,,
391,,,,,,,M,Qui de nous deux,,,https://www.boiteachansons.net/en/partitions/m-(mathieu-chedid)/qui-de-nous-deux,,0,m (mathieu chedid),qui de nous deux,,,,,,,,
392,,,,,,,M,Mama Sam ,,,https://www.boiteachansons.net/en/partitions/m-(mathieu-chedid)/mama-sam,,0,m (mathieu chedid),mama sam,,,,,,,,
393,,,,,,,Kenny Arkana,connard,,,,,0,,,,,,,,,,
394,,,,,,,,Louxor jadore,,,https://www.boiteachansons.net/partitions/philippe-katerine/louxor-j-adore,,0,philippe katerine,louxor j adore,,,,,,,,
395,,,,,,,,Parce qu'on vient de loin,,,,,0,,,,,,,,,,
396,,,,,,,Bénabar,Le dîner ,,,https://www.boiteachansons.net/partitions/benabar/le-diner,,0,benabar,le diner,,,,,,,,
397,,,,,,,Cali ,elle ma dit,,,https://www.boiteachansons.net/partitions/cali/elle-m-a-dit,,0,cali,elle m a dit,,,,,,,,
398,,,,,,,Cali ,C'est quand même bonheur,,,https://www.boiteachansons.net/partitions/cali/c-est-quand-le-bonheur,,0,cali,c est quand le bonheur,,,,,,,,
399,,,,,,,Eminem ,loose yoursel,,,https://www.boiteachansons.net/partitions/eminem/loose-yourself,,0,eminem,loose yourself,,,,,,,,
400,,,,,,,Eminem ,slim shady,,,https://www.boiteachansons.net/en/partitions/eminem/the-real-slim-shady,,0,eminem,the real slim shady,,,,,,,,
401,,,,,,,magic system,1er gaou ,,,https://www.boiteachansons.net/partitions/magic-system/1er-gaou,,0,magic system,1er gaou,,,,,,,,
402,,,,,,,Zoufris maracas,et ta mere,,,,,0,,,,,,,,,,
403,,,,,,,Coeur de pirate ,comme des enfants,,,https://www.boiteachansons.net/partitions/coeur-de-pirate/comme-des-enfants,,0,coeur de pirate,comme des enfants,,,,,,,,
404,,,,,,,lorie,Je serai la ,,,https://www.boiteachansons.net/partitions/lorie/je-serai-(ta-meilleure-amie),,0,lorie,je serai (ta meilleure amie),,,,,,,,
405,,,,,,,,Ces soirée la,,,https://www.boiteachansons.net/partitions/claude-francois/cette-annee-la,,0,claude francois,cette annee la,,,,,,,,
406,,,,,,,Anaïs,Mon coeur mon amour ,,,https://www.boiteachansons.net/partitions/anais/mon-coeur-mon-amour,,0,anais,mon coeur mon amour,,,,,,,,
407,,,,,,,,Laisse toi aller Bb,,,https://www.boiteachansons.net/partitions/claudio-capeo/laisse-aller,,0,claudio capeo,laisse aller,,,,,,,,
408,,,,,,,christophe Willem,Double je ,,,https://www.boiteachansons.net/partitions/christophe-willem/double-je,,0,christophe willem,double je,,,,,,,,
409,,,,,,,mika,Elle me dit ,,,https://www.boiteachansons.net/partitions/mika/elle-me-dit,,0,mika,elle me dit,,,,,,,,
410,,,,,,,,Le petit anne gris,,,https://www.boiteachansons.net/partitions/hugues-aufray/le-petit-ane-gris,,0,hugues aufray,le petit ane gris,,,,,,,,
411,,,,,,,france gall,poupée de cire,,,https://www.boiteachansons.net/partitions/france-gall/poupee-de-cire-poupee-de-son,,0,france gall,poupee de cire poupee de son,,,,,,,,
412,,,,,,,Zoufris maracas,un gamin,,,https://www.boiteachansons.net/partitions/zoufris-maracas/bras-ballants/,,0,bras ballants,,,,,,,,,
413,,,,,,,,Ta kattie ta quitte,,,https://www.boiteachansons.net/partitions/boby-lapointe/ta-katie-t-a-quitte,,0,boby lapointe,ta katie t a quitte,,,,,,,,
414,,,,,,,la tordue,Les parkings ,,,,,0,,,,,,,,,,
415,,,,,,,zoufris maracas,Les écrans ,,,https://www.boiteachansons.net/partitions/zoufris-maracas/les-cons,,0,zoufris maracas,les cons,,,,,,,,
416,,,,,,,brel,Je cheval ,,,https://www.boiteachansons.net/partitions/jacques-brel/le-cheval,,0,jacques brel,le cheval,,,,,,,,
417,,,,,,,,Le noye assasins,,,,,0,,,,,,,,,,
418,,,,,,, ma tordue,Les mots,,,https://www.boiteachansons.net/partitions/la-rue-ketanou/les-mots,,0,la rue ketanou,les mots,,,,,,,,
419,,,,,,,renaud,La java sans joie,,,https://www.boiteachansons.net/partitions/renaud/la-java-sans-joie,,0,renaud,la java sans joie,,,,,,,,
420,,,,,,,la rue ketanou,Je sais pas où je vais,,,https://www.boiteachansons.net/partitions/la-rue-ketanou/ou-je-vais,,0,la rue ketanou,ou je vais,,,,,,,,
421,,,,,,,pierre perret,Le zizi,,,https://www.boiteachansons.net/partitions/pierre-perret/le-zizi,,0,pierre perret,le zizi,,,,,,,,
